,year,co2,annual_emission_rate,Value
0,1965.0,-1.5940191581501175,2.2467679884681515,-1.6012073152925521
1,1966.0,-1.539387782517183,2.073472961721549,-1.3882388546378777
2,1967.0,-1.5038891082538497,1.9157726290321517,-1.352744111195432
3,1968.0,-1.4222193686784692,1.8284113921208234,-1.4592283415227691
4,1969.0,-1.3266432545449622,1.7224597516362894,-0.9623019333285289
5,1970.0,-1.2364799761992016,1.635370651607591,-1.1397756505407575
6,1971.0,-1.1889312227397935,1.4863132467831737,-1.6012073152925521
7,1972.0,-1.1098486022722485,1.3572663055420504,-1.210765137425649
8,1973.0,-1.011886716436463,1.3231819272141914,-0.6783439857889628
9,1974.0,-1.0397179284522382,1.1358182015624125,-1.5657125718501066
10,1975.0,-1.0560519491960376,1.0357918770073475,-1.3172493677529864
11,1976.0,-0.9507144363662555,1.0680828122911286,-1.6012073152925521
12,1977.0,-0.8920525655584121,1.0308793781786636,-0.6073544989040713
13,1978.0,-0.8678724677421752,0.6483268100782066,-0.9268071898860831
14,1979.0,-0.8013168275854146,0.6420119352912431,-0.53636501201918
15,1980.0,-0.8297131282118279,0.6555434252314144,-0.3588912948069511
16,1981.0,-0.8698981341365284,0.5055275494582451,-0.21691232103716826
17,1982.0,-0.9043224677338508,0.391047880888773,-0.6783439857889628
18,1983.0,-0.8892058387444044,0.2687999772750414,-0.07493334726738533
19,1984.0,-0.8073942667135564,0.10380075565202691,-0.7493334726738543
20,1985.0,-0.29933395707760324,0.031518785929959756,-0.7848282161163002
21,1986.0,-0.2541348689623221,-0.048236301594380276,-0.5008702685767342
22,1987.0,-0.17229129067377413,-0.11442791878667942,-0.003943860382493738
23,1988.0,-0.08402910778732187,-0.1991217453698046,0.031550883059951934
24,1989.0,-0.029959431881210377,-0.21017749441746336,-0.2879018079220597
25,1990.0,-0.009917720895251373,-0.3311747266393588,0.24451934371462647
26,1991.0,-0.005660949384434724,-0.4507372090814237,0.031550883059951934
27,1992.0,0.009087596633238703,-0.5103256491448835,-0.5008702685767342
28,1993.0,0.021380100651451742,-0.5892878545626442,-0.3588912948069511
29,1994.0,0.056367218878635,-0.6217016767732709,-0.110428090709831
30,1995.0,0.08841524244531665,-0.78391860408616,0.3155088305995178
31,1996.0,0.17478273747771603,-0.7929707343931027,-0.18141757759472235
32,1997.0,0.19955267926790102,-0.8127311845950176,0.49298254781174666
33,1998.0,0.20402896189915995,-0.8796377424656089,0.9544142125635414
34,1999.0,0.2505461901347085,-0.9451454334629509,0.20902460027218078
35,2000.0,0.32163028237052155,-0.9680091478273863,0.17352985682973487
36,2001.0,0.3603404037479502,-0.9386394902506895,0.6704562650239753
37,2002.0,0.43037370223646326,-0.9492630327797265,0.8479299822362041
38,2003.0,0.5939846874550763,-0.7197068310089209,0.9189194691210955
39,2004.0,0.7722664121059611,-0.6754044837286326,0.7414457519088666
40,2005.0,0.9201375345217289,-0.5653666540660952,1.0254036994484328
41,2006.0,1.038370288606142,-0.5320837119780603,0.9189194691210955
42,2007.0,1.1781939085966302,-0.46453515465745077,0.8479299822362041
43,2008.0,1.2149291470120767,-0.5158717524330091,0.5994667781390839
44,2009.0,1.1318569072014062,-0.6324036797885835,0.9544142125635414
45,2010.0,1.3141256486842148,-0.6833312079781519,1.2383721601031072
46,2011.0,1.4411005486118693,-0.6036793099703667,0.7059510084664209
47,2012.0,1.486576396412339,-0.6611721786752512,0.9189194691210955
48,2013.0,1.5520840860135612,-0.7358129901113181,1.0608984428908785
49,2014.0,1.5550680754490087,-0.8859389535234143,1.2738669035455525
50,2015.0,1.545468741657632,-1.0602840693299718,1.948267028952022
51,2016.0,1.5556678386336422,-1.2511974328378153,2.1612354896066965
52,2017.0,1.597673219882073,-1.4056444166525632,1.8772775420671308
53,2018.0,1.682883970308477,-1.568227470000292,1.5933195945275644
