country,emissions,renewables,LON,LAT
Canada,550.294100171036,45.304937950425796,-109.433,59.081
Trinidad and Tobago,20.717074401744398,0.00398907103825137,-61.253,10.468
Venezuela,123.709743998074,0.0100080889163322,-66.166,7.125
Austria,61.2010934342169,12.2419083147597,14.912,47.683
Belgium,129.590742406962,16.867842051870998,4.664,50.643
Bulgaria,42.6847706177682,2.97809297240793,25.231,42.761
Croatia,16.8712995652259,2.13539344894007,16.693,45.723
Cyprus,8.229805214979018,0.4638,33.219,35.043
Czech Republic,103.247403889401,7.6764,15.338,49.743
Denmark,35.6619483321933,20.971572418911897,9.264,56.058
Mexico,462.47781729432,21.3522907587632,-102.535,23.951
Estonia,25.664452591988397,2.01641831566236,25.793,58.674
Finland,46.567886537091205,18.8808842105264,26.272,64.504
France,311.76007103219797,46.84729107268561,2.55,46.565
Germany,725.673471289634,209.19099999999997,9.851,51.11
Greece,76.22323134334691,10.389664439748199,21.766,39.666
Hungary,47.6822303474543,3.5680585380898497,19.134,47.07
Iceland,3.46842388263395,6.01378061509972,-18.48,64.764
Ireland,39.1285718403989,9.655591004090539,-8.152,53.177
Italy,336.346798277142,66.0154451425111,12.8,42.7
Latvia,7.81269556937682,1.08669766574537,25.641,56.858
United States,5145.16318720394,458.52432472089106,-98.606,39.622
Lithuania,12.148458640050302,1.695,23.897,55.336
Luxembourg,10.7412234638486,0.650730287765707,6.088,49.771
Netherlands,202.672083894996,18.6262852958628,5.389,52.077
Norway,35.4570741663768,4.118636199906,8.74,61.152
Poland,322.536263204881,19.475,19.401,52.125
Portugal,54.535724714556,17.116,-8.058,40.309
Romania,71.9862063321189,8.6327102,24.969,45.844
Slovakia,32.8527627058952,2.00947826086957,19.491,48.707
Slovenia,13.6865544205802,0.548055670203735,14.827,46.124
Argentina,180.28873220118598,3.8177677220560495,-65.167,-35.377
Spain,295.209887647502,70.7355024281062,-3.649,40.227
Sweden,44.828629415882794,29.0452052575031,15.27,62.011
Switzerland,36.6371464761195,4.0644428303000995,7.908,46.861
Turkey,389.857470678732,37.7001778849976,35.179,39.061
Ukraine,186.54361508984297,2.6324,31.388,49.016
United Kingdom,394.136617304486,105.624137422999,-1.6,53.0
Azerbaijan,31.758930669037,0.20256,47.395,40.43
Belarus,56.6490029911026,0.3616135729971379,28.047,53.54
Kazakhstan,248.122091246049,0.6583836,67.301,48.16
Russia,1550.77412724396,1.2633,96.689,61.988
Brazil,441.76077379886596,104.506970492179,-53.089,-10.772
Turkmenistan,78.4875224658023,0.006959999999999999,59.384,39.122
Uzbekistan,104.27173768654801,0.0,63.17,41.75
Iran (Islamic Republic of),656.363340053637,0.42141306629001496,54.301,32.565
Iraq,151.397200034634,0.0571434426229508,43.772,33.048
Israel,69.6412435293633,2.0135,34.851,31.026
Kuwait,98.1741581070587,0.1055953341054,47.376,29.476
Oman,71.3904940665182,0.0137186744953366,57.407,21.656
Qatar,101.15784535515999,0.123910172661203,51.191,25.316
Saudi Arabia,571.0200810228209,0.154871783370389,44.585,24.023
Chile,95.80448698023892,15.544798464728501,-69.433,-23.389
United Arab Emirates,276.980190936477,0.9536171061679971,54.163,23.549
Algeria,135.530545124818,0.613,2.632,28.163
Egypt,224.206096637435,3.4747058823529398,29.872,26.494
Morocco,62.767799343831705,4.7909,-5.758,32.706
South Africa,421.13067338433297,12.3604310046842,23.121,-30.558
Australia,416.56673224966204,31.886929,136.189,-24.973
Bangladesh,90.4249443160245,0.312314351995949,89.941,24.218
Colombia,98.06005054839041,2.14427533308928,-73.076,3.9
China,9428.712230834491,634.223461748634,106.514,33.42
Hong Kong,99.50099124550579,0.10251004371584699,114.129,22.423
India,2479.07190249901,121.50226,78.5,21.0
Indonesia,542.97078660862,14.753160000000001,114.252,-0.976
Japan,1148.42640503084,112.13341869382299,139.068,36.491
Malaysia,250.294079181126,1.4640328112771002,102.195,4.201
New Zealand,35.8686918183041,10.465155765296199,172.235,-42.634
Pakistan,195.706899810209,5.513661659518711,69.386,29.967
Philippines,133.743102150257,13.942169,122.466,11.118
Singapore,230.01218409646702,1.18698255466397,103.808,1.351
Ecuador,37.066081048270995,0.546216960831,-78.497,-1.385
"Korea, Republic of",697.584006751192,21.928361584245803,128.103,36.504
Sri Lanka,20.598846557538103,0.624393639658395,80.704,7.612
Taiwan,286.03143288534403,6.42675,120.946,23.754
Thailand,302.388083037585,17.800316928,100.844,15.7
Viet Nam,224.525604206454,0.46772890561241404,105.314,21.491
Peru,52.3072906033809,2.9132415470060895,-75.552,-9.326
