year,annual_emission_rate
1965.0,0.6787208000317042
1966.0,0.6731586965508
1967.0,0.6680971227372939
1968.0,0.6652931632178375
1969.0,0.6618925232836734
1970.0,0.6590972983109064
1971.0,0.6543131292219646
1972.0,0.6501712190093488
1973.0,0.6490772416292647
1974.0,0.6430635870529752
1975.0,0.6398531269582184
1976.0,0.6408895417181537
1977.0,0.6396954546502016
1978.0,0.6274169893612254
1979.0,0.6272143061816012
1980.0,0.6276486149365091
1981.0,0.622833682618521
1982.0,0.619159325800572
1983.0,0.6152356385315922
1984.0,0.609939798471059
1985.0,0.6076198254000164
1986.0,0.605059994005734
1987.0,0.602935497813871
1988.0,0.6002171519011639
1989.0,0.5998623049017061
1990.0,0.5959787593715435
1991.0,0.5921412637880784
1992.0,0.5902287041715624
1993.0,0.5876943212417152
1994.0,0.5866539622843242
1995.0,0.581447423164261
1996.0,0.5811568846160113
1997.0,0.5805226502071208
1998.0,0.5783752071707347
1999.0,0.5762726623778301
2000.0,0.5755388251313709
2001.0,0.5764814781186327
2002.0,0.5761405032851963
2003.0,0.5835083739789094
2004.0,0.5849303088413578
2005.0,0.5884620997235744
2006.0,0.5895303540844643
2007.0,0.5916984028326399
2008.0,0.5900506955986479
2009.0,0.5863104691712117
2010.0,0.5846758914967396
2011.0,0.5872324109046366
2012.0,0.5853871110645079
2013.0,0.5829914282517915
2014.0,0.5781729625442354
2015.0,0.5725771552454821
2016.0,0.5664495709538059
2017.0,0.5614924171195687
2018.0,0.5562741267627211
